SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit
MARPS,285674.27999999997,299619.89999999997,143,13945.619999999995
MBNKP,5940.879999999999,5794.98,3,-145.89999999999964
HWCPZ,19875.08,19514.17,10,-360.9100000000035
TANNZ,1992.38,1999.33,1,6.949999999999818
NSS,5949.8099999999995,5886.28,3,-63.529999999999745
ET-PC,13920.880000000001,13950.770000000002,7,29.890000000001237
ET-PE,15921.630000000001,15939.380000000001,8,17.75
NRUC,13892.37,13647.779999999999,7,-244.59000000000196
STZ,22962.769999999997,23032.91,12,70.14000000000306
SJT,205763.24999999994,216398.01000000004,103,10634.760000000097
BPT,93671.28000000001,100659.64,47,6988.359999999986
CVLT,57229.17,58680.560000000005,29,1451.3900000000067
FISI,47700.57,47765.6,24,65.02999999999884
TWND-UN,13976.72,14081.48,7,104.76000000000022
STZ-B,22576.03,23454.96,12,878.9300000000003
PFBC,43340.73,44297.58000000001,22,956.8500000000058
IBOC,91185.00000000001,93473.06000000001,46,2288.0599999999977
OCUP,75948.03,77199.12999999999,38,1251.0999999999913
OPHC,41964.39,42325.14,21,360.75
TIPT,39882.04,40578.86,20,696.8199999999997
CRT,193464.50000000003,200642.73999999996,97,7178.2399999999325
IHG,59045.6,60320.93,30,1275.3300000000017
ABNB,65948.07999999999,66447.93,34,499.8500000000058
AA,126536.94,131038.09,64,4501.149999999994
EQNR,87405.02,90114.95000000001,44,2709.9300000000076
PRG,194181.13,200021.16,98,5840.029999999999
OTIS,53298.12,55220.96,27,1922.8399999999965
DQ,262859.46,274207.98,133,11348.51999999996
TPL,141071.26,146449.02000000002,95,5377.760000000009
PMVC,1997.52,1930.43,1,-67.08999999999992
MED,175313.53999999998,180427.43000000002,91,5113.890000000043
ASTL,57904.979999999996,58101.85,29,196.87000000000262
MCK,75211.93,79237.48999999999,39,4025.5599999999977
TVC,11894.58,11697.54,6,-197.03999999999905
ISIG,89770.95,92796.06999999999,45,3025.1199999999953
YALA,77918.73999999999,79226.37000000001,39,1307.6300000000192
AMP,96273.11,99641.93,51,3368.8199999999924
MCO,44576.76,45283.11,24,706.3499999999985
PJT,114510.13,117960.06000000001,58,3449.9300000000076
LOMA,37943.56,38873.39,19,929.8300000000017
CORT,169278.55000000005,173949.49999999997,85,4670.949999999924
BKNG,65578.97,68371.79,66,2792.8199999999924
ALTUU,1993.71,1958.82,1,-34.8900000000001
QIWI,49892.02,49726.4,25,-165.61999999999534
BWFG,19814.61,19820.14,10,5.529999999998836
KWAC,3999.5,4023.59,2,24.090000000000146
VOC,95875.69,101558.31,48,5682.619999999995
GPRK,129481.0,133230.02,65,3749.0199999999895
EXPD,82218.29000000001,84333.24999999999,42,2114.9599999999773
ABC,60410.689999999995,62520.439999999995,31,2109.75
SQM,149703.19999999998,154188.22,76,4485.020000000019
AMR,119223.48999999999,130207.37999999998,61,10983.889999999985
AEL,35714.189999999995,36793.42999999999,18,1079.239999999998
FLR,41740.70999999999,43210.46,21,1469.7500000000073
NVR,0.0,0.0,58,0.0
EEX,75946.81,77767.89000000001,38,1821.0800000000163
VRTX,81542.59999999998,83825.8,43,2283.200000000026
JFIN,57971.64000000001,60569.39000000001,29,2597.75
UEIC,170228.22,173490.81,86,3262.5899999999965
EQH,39664.89,39839.969999999994,20,175.07999999999447
HPQ,63423.41,65069.61,32,1646.199999999997
MRVI,134846.98,138010.72999999998,68,3163.749999999971
ERF,95771.44,102549.85999999999,48,6778.419999999984
BKE,204610.79,209794.34999999998,103,5183.559999999969
RHI,120084.72,122755.61,61,2670.8899999999994
VGR,143544.97999999998,147862.0,72,4317.020000000019
GNE,159701.33000000002,164131.84,80,4430.50999999998
GNE-PA,25960.27,26973.3,13,1013.0299999999988
ZYME,85830.39,89461.23999999999,43,3630.8499999999913
HSII,65459.19,66032.16,33,572.9700000000012
MOH,119762.59999999999,124436.08,63,4673.4800000000105
SWBI,103596.06,104963.65000000001,52,1367.590000000011
DDT,11939.130000000001,11703.4,6,-235.73000000000138
