SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit,return_percent
PSHG,93866.22,127291.09,47,33424.87,35.60905084
GATEW,93995.33,107859.14,47,13863.81,14.74946681
PXS,67969.19,77593.78,34,9624.59,14.16022465
NISN,323446.58,363923.39,162,40476.81,12.51421796
DG,72963.01,81435.59,38,8472.58,11.612158
SSBK,7983.76,8850.03,4,866.27,10.85040131
PBF,51628.51,56563.29,26,4934.78,9.558246016
AMR,119223.49,130207.38,61,10983.89,9.212857299
ENPH,175644.94,191734.45,90,16089.51,9.160246802
ELTK,171829.9,187232.03,86,15402.13,8.963591319
DRCT,85949.11,93564.72,43,7615.61,8.860603676
VIA,123534.28,134042.11,62,10507.83,8.506003354
ASC,43914.03,47237.72,22,3323.69,7.568628978
BPT,93671.28,100659.64,47,6988.36,7.460515112
SLVM,53631.01,57621.96,27,3990.95,7.441497
MNST,82650.22,88564.16,42,5913.94,7.155383252
ERF,95771.44,102549.86,48,6778.42,7.077705003
UONE,215741.26,230934.81,108,15193.55,7.042486912
HDSN,123831.86,132421.11,62,8589.25,6.936219806
TALO,57731.22,61733.74,29,4002.52,6.933025147
AMPH,27819.27,29740.14,14,1920.87,6.904818135
EDRY,149401.51,159511.33,75,10109.82,6.766879398
PNT,61883.04,66048.79,31,4165.75,6.731650546
SBOW,129146.34,137534.18,65,8387.84,6.49483369
CVX,40507.15,43080.1,21,2572.95,6.351841588
SMCI,51320.35,54579.9,26,3259.55,6.351379131
ARL,49755.08,52912.43,25,3157.35,6.345784189
PHX,61957.45,65872.33,31,3914.88,6.318659015
LMST,19922.42,21178.07,10,1255.65,6.302698166
CLFD,114627.69,121783.85,58,7156.16,6.242959271
CAR,130292.48,138394.31,68,8101.83,6.218186959
CPRT,95708.96,101653.96,49,5945,6.211539651
VIASP,35808.11,38009.3,18,2201.19,6.147182859
WFRD,49648.18,52675.81,25,3027.63,6.098169157
TECTP,5989.48,6352.44,3,362.96,6.059958461
DLTR,38904.31,41246,20,2341.69,6.01910174
OXY,45335.07,48053.94,23,2718.87,5.997277604
AFBI,15948.06,16898.91,8,950.85,5.962167185
